"","Group","RUELLE_ID","lat_S1","lon_S1","lat_S2","lon_S2","lat_S3","lon_S3","lat_S4","lon_S4","lat_S5","lon_S5","lat_S6","lon_S6"
"92",20,"RPP-H-1000012",-73.5561450373891,45.5471529542657,-73.5560563277989,45.5473114124774,-73.5562277545277,45.5469842857437,-73.5585391248589,45.5478613052652,-73.5584479918944,45.5479953719051,-73.5586547579629,45.5476735011276
"93",20,"RPP-H-1000013",-73.5570519098322,45.5481657980973,-73.5564726442685,45.5479947609669,-73.557606076039,45.5483345683572,NA,NA,NA,NA,NA,NA
"94",20,"RPP-T-1000062",-73.5560032503975,45.5517386519511,-73.556328037767,45.5518522047899,-73.555772796697,45.5516729746183,NA,NA,NA,NA,NA,NA
"95",20,"RPP-T-1000118",-73.5558654117278,45.5524283110936,-73.5560700698288,45.552484754723,-73.5556954156061,45.552370157996,NA,NA,NA,NA,NA,NA
"96",20,"RPP-I-1000112",-73.5584190554982,45.5532373591712,-73.5573449293239,45.5528946335033,-73.559257430679,45.5535111637045,NA,NA,NA,NA,NA,NA
"97",20,"RPP-I-1000020",-73.5552333231322,45.5535765664213,-73.5552989269316,45.5534857859122,-73.5551627673235,45.5536675909961,NA,NA,NA,NA,NA,NA
"98",21,"RPP-H-1000061",-73.5671412338433,45.5537522048211,-73.5664173124087,45.5535288374332,-73.5677520500949,45.5539391348012,NA,NA,NA,NA,NA,NA
"99",21,"RPP-F-1000092",-73.5662286976345,45.5550299564643,-73.5654319602077,45.5547751609568,-73.5669745334096,45.5552732538449,NA,NA,NA,NA,NA,NA
"100",21,"RPP-H-1000064",-73.5699199605278,45.5546198914308,-73.5702381058581,45.5547162210062,-73.569618063349,45.5545367651329,NA,NA,NA,NA,NA,NA
"101",21,"RPP-F-1000029",-73.5689601857405,45.5559041886587,-73.5684459649263,45.5557491561231,-73.5693273307519,45.5560234464267,NA,NA,NA,NA,NA,NA
"102",21,"RPP-T-1000091",-73.5685253398157,45.5564736574871,-73.5680270086268,45.5563128708928,-73.5689559866315,45.556616265954,NA,NA,NA,NA,NA,NA
"103",22,"RPP-H-1000111",-73.5716823260941,45.5559533507196,-73.5719522167544,45.5560409881749,-73.5714247995723,45.5558717231545,NA,NA,NA,NA,NA,NA
"104",22,"RPP-H-1000095",-73.571226108986,45.5573450235003,-73.5708151653667,45.5572113828956,-73.5716171742426,45.5574680570871,NA,NA,NA,NA,NA,NA
"105",22,"RPP-H-1000097",-73.5741234151449,45.5582868891468,-73.5745868688058,45.5584278516794,-73.5736803756659,45.5581382925324,NA,NA,NA,NA,NA,NA
"106",22,"RPP-H-1000096",-73.5732238837134,45.5594091311456,-73.5736931797812,45.5595613972816,-73.5727602603038,45.5592665153885,NA,NA,NA,NA,NA,NA
"107",22,"RPP-H-1000030",-73.5728118730573,45.5599832794008,-73.5732547614679,45.5601302318241,-73.5723419811411,45.559836833047,NA,NA,NA,NA,NA,NA
"108",23,"RPP-H-1000107",-73.5731076994992,45.5631378623383,-73.5734530841903,45.5632490630032,-73.5727483781208,45.5630254061787,NA,NA,NA,NA,NA,NA
"109",23,"RPP-H-1000009",-73.5721543947359,45.5664565623734,-73.5720824835505,45.5665773949065,-73.5722349910995,45.5663335097474,NA,NA,NA,NA,NA,NA
"110",23,"RPP-I-1000018",-73.5727949033286,45.565926236348,-73.5728715006777,45.5658141236532,-73.5727244586679,45.5660362541555,NA,NA,NA,NA,NA,NA
"111",23,"RPP-I-1000071",-73.5670258018195,45.5691198238149,-73.566944290322,45.5692597934209,-73.5671127904738,45.5689891794843,NA,NA,NA,NA,NA,NA
"112",23,"RPP-H-1000019",-73.5698016397835,45.5723524449547,-73.568942044557,45.5720886554913,-73.5682036570864,45.5718660505034,NA,NA,NA,NA,NA,NA
"113",24,"RPP-H-1000100",-73.5757851027476,45.5639714210743,-73.5763465813128,45.564143835416,-73.5752261836629,45.5637969334033,NA,NA,NA,NA,NA,NA
"114",24,"RPP-H-1000014",-73.5808686514815,45.5641123382807,-73.5815759637644,45.5643338685344,-73.5801617324391,45.5638946713552,-73.5817461128963,45.5498093732924,-73.582032450571,45.5498862316772,-73.5814025228077,45.5497073359729
"115",24,"RPP-H-1000007",-73.5837458178222,45.5664421962089,-73.5843844834014,45.5666398985262,-73.5830374984743,45.5662110111968,NA,NA,NA,NA,NA,NA
"116",24,"RPP-H-1000008",-73.5797679989589,45.5688062278178,-73.579689307169,45.5689354587901,-73.5798482240471,45.5686796065182,-73.5825321759713,45.5698091629284,-73.582496453362,45.5698718094677,-73.5825760401913,45.5697452176939
